Searched Postcode,Number of results,Date Time
has,0,2022-06-23 14:21:45
ha,50,2022-06-23 14:21:46
ha7,2,2022-06-23 14:21:46
has,0,2022-06-23 14:31:00
ha,50,2022-06-23 14:31:01
ha2,1,2022-06-23 14:31:01
ab10,50,2022-06-23 14:33:59
ha,50,2022-06-23 14:37:16
ha2,1,2022-06-23 14:37:18
ab1,50,2022-06-23 14:37:31
EC,10,2022-06-23 14:39:30
w3,8,2022-06-23 14:40:24
w3,8,2022-06-23 14:40:58
d4,8,2022-06-23 14:41:53
y3,13,2022-06-23 14:42:50
KY3 9HY,1,2022-06-23 14:47:34
KY3 9HY,1,2022-06-23 14:53:59
KY3 9HY,1,2022-06-23 14:54:58
KY3 9HY,1,2022-06-23 14:57:50
KY3 9HY,1,2022-06-23 14:57:52
ha2,1,2022-06-23 15:09:55
KY3 9HY,1,2022-06-23 16:04:58
ab,50,2022-06-23 16:13:29
AB10 1AF,1,2022-06-23 16:13:31
k3,5,2022-06-23 16:20:19
MK3 6FA,1,2022-06-23 16:20:25
mn,0,2022-06-23 16:54:40
mnk,0,2022-06-23 16:54:41
mk,50,2022-06-23 16:54:43
mk1,10,2022-06-23 16:54:45
mk17,5,2022-06-23 16:54:46
MK17 9LU,1,2022-06-23 16:54:50
MK17 9LU,1,2022-06-23 16:57:07
MK17 9LU,1,2022-06-23 16:57:11
sw,50,2022-06-23 16:57:17
TR11 2SW,1,2022-06-23 16:57:19
sw,50,2022-06-23 16:57:36
mk,50,2022-06-23 16:57:51
sa,50,2022-06-23 16:59:41
SA18 3NH,1,2022-06-23 16:59:51
gu,50,2022-06-24 09:32:29
gu1,13,2022-06-24 09:32:29
g2,49,2022-06-24 09:46:29
g2 ,28,2022-06-24 09:46:39
g2 2,2,2022-06-24 09:46:39
g3,29,2022-06-24 09:53:29
y6,6,2022-06-24 09:54:04
dy,50,2022-06-24 09:55:06
dy4,2,2022-06-24 09:55:06
lm,0,2022-06-24 09:56:12
lmy,0,2022-06-24 09:56:16
g5,17,2022-06-24 09:56:19
v5,2,2022-06-24 09:57:28
cv,48,2022-06-24 10:08:22
mk,50,2022-06-24 10:09:10
by,50,2022-06-24 10:09:59
sa,50,2022-06-24 10:10:58
c2,4,2022-06-24 10:12:40
g3,29,2022-06-24 10:14:07
mk,50,2022-06-24 10:14:55
bn,50,2022-06-24 10:15:53
bn1,13,2022-06-24 10:16:59
z9,0,2022-06-24 10:19:37
mk,50,2022-06-24 10:19:40
ha,50,2022-06-24 10:22:53
ha2,1,2022-06-24 10:22:54
nw1,12,2022-06-24 10:23:30
dt,50,2022-06-24 10:42:30
ab,50,2022-06-24 10:42:48
da,50,2022-06-24 10:43:06
nw1,12,2022-06-24 10:45:46
nw10,6,2022-06-24 10:45:46
nw1,12,2022-06-24 10:50:16
Nw1,12,2022-06-24 10:51:02
AB,50,2022-06-24 10:51:34
nw11,0,2022-06-24 10:51:43
nw1,12,2022-06-24 10:51:45
NW1,12,2022-06-24 10:52:12
ha,50,2022-06-24 10:52:16
ha,50,2022-06-24 10:52:21
ha2,1,2022-06-24 10:52:22
ha2 8f,1,2022-06-24 10:52:24
AB10,50,2022-06-24 10:52:28
AB10 1,50,2022-06-24 10:52:30
AB10 1a,29,2022-06-24 10:52:31
AB10 1,50,2022-06-24 10:52:33
AB10 1B,30,2022-06-24 10:52:35
AB10 1,50,2022-06-24 10:52:36
AB10 1a,29,2022-06-24 10:52:42
AB10 1ax,1,2022-06-24 10:52:45
nw1,12,2022-06-24 10:52:57
nw11,0,2022-06-24 10:52:57
aut,0,2022-06-24 10:53:12
mk1,10,2022-06-24 10:53:14
dy,50,2022-06-24 11:08:41
dy4,2,2022-06-24 11:08:41
ab,50,2022-06-24 11:26:44
mk,50,2022-06-24 11:27:28
mk19,1,2022-06-24 11:27:28
mk,50,2022-06-24 11:28:16
mk,50,2022-06-24 11:30:10
mk1,10,2022-06-24 11:33:04
w2,18,2022-06-24 11:33:23
w2,18,2022-06-24 11:35:42
